feature,importance
latitude,0.3569976199100759
uv_index,0.2808852922412136
pressure_in,0.12444047224822624
last_updated_epoch,0.07531309320510748
longitude,0.05342139437052168
humidity,0.03372731356452143
air_quality_Sulphur_dioxide,0.009635719045261207
air_quality_Carbon_Monoxide,0.007893761311938374
air_quality_Nitrogen_dioxide,0.007171811057796153
air_quality_Ozone,0.006785560876688853
wind_degree,0.0066695494738231685
air_quality_PM10,0.0061279639847852275
air_quality_PM2.5,0.005191226686594507
cloud,0.004633311943811787
pressure_mb,0.004016434601909768
moon_illumination,0.0037859370297153587
wind_mph,0.0023408867074741616
wind_kph,0.0021307513131770396
gust_kph,0.0020963492209027453
precip_mm,0.0020079021552377933
gust_mph,0.0018592633381596037
visibility_km,0.001417799900521534
visibility_miles,0.0006752299424958173
air_quality_gb-defra-index,0.0003845050851836913
air_quality_us-epa-index,0.00021267850494634586
precip_in,0.0001781722799104818
