Country,Average Temperature (deg C)
Qatar,32.43346303501946
United Arab Emirates,32.27360931435964
Cambodia,32.05233160621762
Oman,31.817723156532985
Djibouti,31.373896103896104
Bangladesh,31.254663212435233
Thailand,31.246990291262136
Inde,31.2
Kuwait,30.96139896373057
Myanmar,30.921086675291075
