,Country,Avg Temp (deg C)
1,Qatar,32.43346303501946
2,United Arab Emirates,32.27360931435964
3,Cambodia,32.05233160621762
4,Oman,31.817723156532985
5,Djibouti,31.373896103896104
6,Bangladesh,31.254663212435233
7,Thailand,31.246990291262136
8,Inde,31.2
9,Kuwait,30.96139896373057
10,Myanmar,30.921086675291075
