,city_country,avg_temp,max_temp
1,"Suva, Fiji Islands",24.84418604651163,79.3
2,"Kuwait City, Kuwait",30.94396887159533,49.2
3,"Baghdad, Iraq",28.833850129198968,49.1
4,"Djibouti, Djibouti",31.373896103896104,47.1
5,"Abu Dhabi, United Arab Emirates",32.27360931435964,46.4
6,"Doha, Qatar",32.43346303501946,46.3
7,"Muscat, Oman",31.817723156532985,46.3
8,"Riyadh, Saudi Arabia",30.731088082901557,46.3
9,"Manama, Bahrain",29.720181112548513,45.3
10,"Ar Riyadh, Saudi Arabien",45.0,45.0
