location_name,avg_temp_celsius,reading_count
Doha,32.43346303501946,771
Abu Dhabi,32.27360931435964,773
Phnom Penh,32.05805194805195,770
Bangkok,31.964637305699483,772
Muscat,31.817723156532985,773
Rangoon,31.61661237785016,307
Khartoum,31.474837872892344,771
Djibouti,31.373896103896104,770
Dhaka,31.254663212435233,772
Kuwait City,30.96139896373057,772
