country,avg_temp_celsius,reading_count
Qatar,32.43346303501946,771
United Arab Emirates,32.27360931435964,773
Cambodia,32.05233160621762,772
Oman,31.817723156532985,773
Djibouti,31.373896103896104,770
Bangladesh,31.254663212435233,772
Thailand,31.246990291262136,1545
Kuwait,30.96139896373057,772
Myanmar,30.921086675291075,773
Saudi Arabia,30.74954721862872,773
