Model,Train R²,Test R²,Test RMSE (deg C),Test MAE (deg C)
Random Forest,0.9921914577855887,0.960364195996214,1.9144086297541567,1.3161804737586544
Ridge Regression,0.4693010524411506,0.36899551972510847,7.638481456387378,5.437281204594535
