country,mean_temp_celsius,max_temp_celsius,observation_count
Turkménistan,37.8,37.8,1
Estonie,23.3,23.3,1
Südkorea,26.1,26.1,1
Inde,31.2,31.2,1
Jemen,26.1,26.1,1
Komoren,25.2,25.2,1
Letonia,20.6,20.6,1
Malásia,24.3,24.3,1
Saudi Arabien,45.0,45.0,1
Marrocos,40.3,40.3,1
Saint-Vincent-et-les-Grenadines,27.8,27.8,1
Mexique,27.4,27.4,1
火鸡,29.7,29.7,1
