city,mean_temp_celsius,max_temp_celsius,observation_count
Douala,25.47,28.3,288
Reykjavik,3.74,15.3,285
San Jose,18.95,24.1,284
'S-Gravenbrakel,9.77,27.2,220
Aguaray,23.3,32.6,178
Garrapata,20.52,28.2,94
S-Chanf,0.53,12.1,50
S. Manian,28.94,32.5,42
Chi-Chi-Erh,-12.49,12.2,41
Grindavik,8.89,13.0,36
Norman Gardens,30.33,33.0,36
Felidhoo,28.8,29.6,34
Abaer,7.68,10.4,26
San Andres,16.38,18.7,26
Pasto,22.35,32.3,25
Sartorio,18.91,28.1,25
Carreria,26.56,31.8,25
Adkip,26.51,28.6,20
Aakip,29.51,32.3,20
Bafoussam,22.68,25.8,18
Aba,19.34,20.7,16
Yaounde,29.79,32.0,16
'S Gravenstaffel,15.56,19.0,16
Washington Park,10.42,16.1,16
Meyungs,27.0,31.0,16
San Juan,23.75,27.0,16
Pathein,28.81,37.5,16
'S Gravenjansdyk,16.34,18.6,12
Bournemouth Gardens,27.97,28.3,11
Ninga,23.03,23.6,10
Yanngwa,33.21,35.0,10
Namawbin,29.06,37.4,8
Abazu,28.61,30.3,8
Achelap,29.82,32.1,6
Newport East,27.78,29.3,5
New York,21.63,26.1,3
Addis Abeba,19.0,19.8,2
Pristina,21.75,29.3,2
Vientiane,28.55,32.1,2
Nuku'alofa,23.05,23.7,2
Tripoli,26.35,27.0,2
Palau,26.65,27.2,2
Ho Chi Minh City,29.95,33.3,2
Grenada,25.2,28.2,2
Bogota,13.9,14.3,2
Sao Paulo,16.45,17.9,2
Mombasa,26.5,26.8,2
Male,28.55,28.8,2
Phnum Penh,29.85,33.4,2
Asuncion,15.0,16.3,2
Melbourne,11.9,12.2,2
Lome,27.1,27.9,2
Bali,28.9,29.3,2
Surabaya,29.95,32.2,2
Krasnyy Turkmenistan,37.8,37.8,1
Beijing Shi,24.3,24.3,1
Ivory Ivory Ban,24.3,24.3,1
-Kingdom,29.7,29.7,1
Mexico (Grupo Mexico),27.4,27.4,1
Costa Rica,23.1,23.1,1
Saint Petersburg,22.9,22.9,1
New Guatemala,15.9,15.9,1
City Of San Marino,31.3,31.3,1
Morocco City,40.3,40.3,1
Moldova,27.7,27.7,1
Ar Riyadh,45.0,45.0,1
Kiyabo,30.3,30.3,1
Kuwait,44.4,44.4,1
