Model,R2_Test,MAE_Test,RMSE_Test,Feature_Count,Train_Test_Split
Random Forest,0.9638001300275766,1.267341837240618,1.8295501248658077,20,80/20
Ridge Regression,0.3807433136057512,5.441490012066839,7.567042261816534,20,80/20
