Metric,Random Forest,Ridge Regression
Train R2,0.9855625373185632,0.466356995706696
Test R2,0.9278009217865689,0.369754496387086
Test RMSE (deg C),2.583786552839422,7.633886264367303
Test MAE (deg C),1.7024999568470245,5.468449829776229
