style,task,phase,mean_tokens,mean_share,mean_share_pct
coercive,pooled,Writing,17787.0,0.1753,17.5
coercive,pooled,Review,8940.0,0.0883,8.8
coercive,pooled,Revision,37540.0,0.3574,35.7
democratic,pooled,Briefing,2352.0,0.0127,1.3
democratic,pooled,Planning,21971.0,0.118,11.8
democratic,pooled,Coding,44838.0,0.233,23.3
democratic,pooled,Writing,28799.0,0.1515,15.2
democratic,pooled,Review,13478.0,0.071,7.1
democratic,pooled,Revision,80840.0,0.4138,41.4
pacesetting,pooled,Briefing,2319.0,0.0225,2.2
pacesetting,pooled,Planning,17510.0,0.1682,16.8
pacesetting,pooled,Coding,22321.0,0.1824,18.2
pacesetting,pooled,Writing,19670.0,0.1782,17.8
pacesetting,pooled,Review,9732.0,0.0881,8.8
pacesetting,pooled,Revision,49525.0,0.3606,36.1
