task,total_tokens,duration_seconds,total_messages,accuracy,completeness,cohesion,quality,quality_mean
long,220793.94285714286,287.26599999999996,23.571428571428573,3.2,4.485714285714286,4.6571428571428575,3.4,3.935714285714286
short,183426.42857142858,201.76885714285714,25.257142857142856,1.9714285714285715,3.857142857142857,3.5142857142857142,1.9714285714285715,2.8285714285714287
