country,temperature_celsius
Saudi Arabien,45.0
Marrocos,40.3
Turkménistan,37.8
Турция,34.0
Qatar,32.43346303501946
United Arab Emirates,32.27360931435964
Cambodia,32.05233160621762
Oman,31.817723156532985
Djibouti,31.373896103896104
Bangladesh,31.254663212435233
