Rank,Country,Avg_Temp
1,Saudi Arabien,45.0
2,Marrocos,40.3
3,Turkménistan,37.8
4,Турция,34.0
5,Qatar,32.43346303501946
6,United Arab Emirates,32.27360931435964
7,Cambodia,32.05233160621762
8,Oman,31.817723156532985
9,Djibouti,31.373896103896104
10,Bangladesh,31.254663212435233
11,Thailand,31.246990291262136
12,Inde,31.2
13,Kuwait,30.96139896373057
14,Myanmar,30.921086675291075
15,Saudi Arabia,30.731088082901557
16,Malaysia,30.630958549222797
17,Philippines,30.484067357512956
18,India,30.332814526588844
19,Sri Lanka,30.236481241914618
20,Singapore,29.975937904269085
21,Sudan,29.938286826735887
22,Bahrain,29.720181112548513
23,火鸡,29.7
24,Brunei Darussalam,29.58456549935149
25,Chad,29.293669250645994
26,Niger,28.997412677878398
27,Seychelles Islands,28.855844155844157
28,Tuvalu,28.841267787839584
29,Iraq,28.833850129198968
30,Somalia,28.776523994811935
31,Pakistan,28.615434500648508
32,Lao People's Democratic Republic,28.55
33,Palau,28.43385214007782
34,Indonesia,28.427454780361757
35,Marshall Islands,28.271280724450197
36,Micronesia,28.257272727272724
37,Benin,28.156865284974092
38,Kiribati,28.047081712062255
39,Maldives,27.9512987012987
40,Burkina Faso,27.875420439844763
41,Saint-Vincent-et-les-Grenadines,27.8
42,Polônia,27.7
43,Central African Republic,27.609715025906738
44,Solomon Islands,27.472574385510995
45,Mexique,27.4
46,Vietnam,27.265851670741643
47,Saint Vincent and the Grenadines,27.235454545454544
48,Ghana,27.20090439276486
49,Togo,27.1
50,Grenada,27.070664928292047
51,Saint Lucia,27.025129533678758
52,Barbados,26.996627756160834
53,Nigeria,26.96157826649418
54,Papua New Guinea,26.915782664941787
55,Equatorial Guinea,26.862144702842375
56,Jamaica,26.824025974025975
57,Mauritius,26.697797927461142
58,Comoros,26.692467532467532
59,Gabon,26.63445595854922
60,Saint Kitts and Nevis,26.59935149156939
61,Mali,26.557383419689117
62,Dominica,26.520286085825745
63,Timor-Leste,26.459167750325097
64,Congo,26.364025974025974
65,Libya,26.35
66,Antigua and Barbuda,26.31326397919376
67,Democratic Republic of Congo,26.250129870129868
68,Südkorea,26.1
69,Jemen,26.1
70,Guinea,26.079792746113988
71,Samoa,26.078226857887874
72,Angola,25.876455368693403
73,Sierra Leone,25.86844155844156
74,Liberia,25.824870466321244
75,Burundi,25.55426356589147
76,Panama,25.52285714285714
77,Madagascar,25.334118602761983
78,Cameroon,25.29443005181347
79,Guinea-Bissau,25.279015544041453
80,Egypt,25.278858625162126
81,Mozambique,25.217335058214747
82,Vanuatu,25.201423027166882
83,Komoren,25.2
84,Trinidad and Tobago,25.162987012987013
85,Uganda,25.032729624838293
86,Tanzania,24.887305699481864
87,Fiji Islands,24.84418604651163
88,Gambia,24.73068920676203
89,Bahamas,24.70469361147327
90,Guyana,24.60143042912874
91,USA United States of America,24.53333333333333
92,Nicaragua,24.51303780964798
93,Senegal,24.349
94,Suriname,24.347922077922078
95,Malásia,24.3
96,Польша,24.2
97,Cyprus,24.196507115135837
98,Brazil,24.06345903771131
99,Tonga,23.967833981841764
100,Dominican Republic,23.939350649350647
101,Cape Verde,23.85472186287193
102,Zambia,23.62341526520052
103,Malawi,23.607244501940492
104,El Salvador,23.52023498694517
105,Rwanda,23.379818887451485
106,Mauritania,23.332901554404145
107,Estonie,23.3
108,Nepal,23.18419689119171
109,Israel,23.104145077720208
110,كولومبيا,23.1
111,Lebanon,23.036917098445596
112,Cote d'Ivoire,22.924115755627007
113,Turkmenistan,22.819948186528496
114,Cuba,22.751495448634593
115,Tajikistan,22.67094682230869
116,Venezuela,22.43190661478599
117,Zimbabwe,22.425551232166015
118,Uzbekistan,22.36201550387597
119,Belize,22.153255208333334
120,Yemen,22.128811369509044
121,Botswana,22.05899094437257
122,Greece,21.80286085825748
123,Malta,21.764987080103356
124,Kosovo,21.75
125,Tunisia,21.59597924773022
126,Syria,21.45181347150259
127,Jordan,21.423385012919898
128,Swaziland,21.35436241610738
129,Haiti,21.32181818181818
130,Kenya,21.294451612903227
131,Eritrea,21.176485788113695
132,Namibia,21.049029754204398
133,Paraguay,20.91165803108808
134,Letonia,20.6
135,Algeria,20.2011673151751
136,South Africa,20.07542043984476
137,Japan,19.93720930232558
138,Iran,19.527981345769486
139,Ethiopia,19.518264248704664
140,Honduras,19.406901041666668
141,Albania,19.313730569948188
142,Afghanistan,19.268346253229975
143,Costa Rica,19.206143790849673
144,Azerbaijan,18.88821243523316
145,Montenegro,18.70453955901427
146,China,18.551880674448768
147,Italy,18.485510996119014
148,Lesotho,18.47496757457847
149,Vatican City,18.47002583979328
150,Morocco,18.423346303501944
151,Peru,18.112760416666667
152,Monaco,17.922366710013
153,Kyrghyzstan,17.427461139896373
154,Bélgica,17.4
