Rank,City,Country,Avg_Temp
150,Caracas,Venezuela,22.43190661478599
151,Harare,Zimbabwe,22.425551232166015
152,Tashkent,Uzbekistan,22.36201550387597
153,Pasto,Paraguay,22.348000000000003
154,Belmopan,Belize,22.153255208333334
155,Sanaa,Yemen,22.133935483870967
156,Gaborone,Botswana,22.05899094437257
157,Tehran,Iran,21.989248704663215
158,Athens,Greece,21.80286085825748
159,Valletta,Malta,21.764987080103356
160,Pristina,Kosovo,21.75
161,New York,United States of America,21.633333333333336
162,Tunis,Tunisia,21.59597924773022
163,Mbabane,Swaziland,21.530090791180285
164,Damascus,Syria,21.45181347150259
165,Amman,Jordan,21.423385012919898
166,Port-Au-Prince,Haiti,21.32181818181818
167,Nairobi,Kenya,21.28098318240621
168,Asmara,Eritrea,21.176485788113695
169,Windhoek,Namibia,21.049029754204398
170,Garrapata,Paraguay,20.52340425531915
171,Algiers,Algeria,20.2011673151751
172,Pretoria,South Africa,20.07542043984476
173,Tokyo,Japan,19.93720930232558
174,Aurora,Paraguay,19.720330969267142
175,Addis Ababa,Ethiopia,19.51961038961039
176,Tegucigalpa,Honduras,19.406901041666668
177,San Ignacio,Costa Rica,19.37266514806378
178,Aba,Cameroon,19.34375
179,Tirana,Albania,19.313730569948188
180,Kabul,Afghanistan,19.268346253229975
181,Addis Abeba,Ethiopia,19.0
182,San Jose,Costa Rica,18.95105633802817
183,Sartorio,Paraguay,18.908
184,Baku,Azerbaijan,18.88821243523316
185,Podgorica,Montenegro,18.70453955901427
186,Beijing,China,18.544415584415585
187,Rome,Italy,18.485510996119014
188,Maseru,Lesotho,18.47496757457847
189,Vatican City,Vatican City,18.47002583979328
190,Rabat,Morocco,18.423346303501944
191,Lima,Peru,18.112760416666667
192,Monaco,Monaco,17.922366710013
193,Yaren,Turkey,17.812970168612193
194,Bishkek,Kyrghyzstan,17.427461139896373
195,Guatemala City,Guatemala,17.31266318537859
196,Tbilisi,Georgia,17.208181818181817
197,Seoul,South Korea,16.965459249676584
198,Chi Chi Khvar,Iran,16.92153635116598
199,Yerevan,Armenia,16.872315653298834
200,Lisbon,Portugal,16.866839378238343
201,San Marino,San Marino,16.82665799739922
202,Skopje,Macedonia,16.632724902216427
203,Sao Paulo,Brazil,16.45
204,San Andres,Costa Rica,16.384615384615383
205,'S Gravenjansdyk,Belgium,16.341666666666665
206,Bogot,Bulgaria,16.22818181818182
207,New Guatemala,Гватемала,15.9
208,Madrid,Spain,15.763389391979302
209,Bucharest,Romania,15.607133592736705
210,Ankara,Turkey,15.584176394293126
211,'S Gravenstaffel,Belgium,15.5625
212,Canberra,Australia,15.38678756476684
213,Belgrade,Serbia,15.37464424320828
214,Asuncion,Paraguay,15.0
215,Mexico City,Mexico,14.744603381014304
216,Pyongyang,North Korea,14.645784695201037
217,Buenos Aires,Argentina,14.62970168612192
218,Montevideo,Uruguay,14.275518134715027
219,'S Gravenjansdijk,Belgium,14.261020881670534
220,Zagreb,Croatia,14.176883116883118
221,Budapest,Hungary,14.176326002587322
222,Wellington,New Zealand,13.988082901554403
223,Bogota,Colombia,13.9
224,Sofia,Bulgaria,13.747150259067357
225,Thimphu,Bhutan,13.62166018158236
226,Bratislava,Slovakia,13.448771021992238
227,Paris,France,13.335751295336788
228,Ljubljana,Slovenia,13.06261319534282
229,Vienna,Austria,12.948963730569949
230,Sarajevo,Bosnia and Herzegovina,12.891073738680465
231,Amsterdam,Netherlands,12.421086675291074
232,Kyiv,Ukraine,12.266279069767442
233,London,United Kingdom,12.243968871595332
234,Brussels,Belgium,12.225810635538263
235,Berlin,Germany,11.961060802069857
236,Melbourne,Australia,11.899999999999999
237,Sucre,Bolivia,11.775880052151239
238,Lom,Bulgaria,11.759052924791087
239,Warsaw,Poland,11.725710594315247
240,Prague,Czech Republic,11.136186770428015
241,Bern,Switzerland,11.071188630490957
242,Santiago,Chile,10.962987012987012
243,Luxembourg,Luxembourg,10.917272727272726
244,Copenhagen,Denmark,10.89443005181347
245,Dublin,Ireland,10.890779220779221
246,Quito,Ecuador,10.440104166666666
247,Washington Park,United States of America,10.41875
248,Vaduz,Liechtenstein,10.099222797927462
249,Riga,Latvia,9.914766839378238
250,Stockholm,Sweden,9.895725388601036
251,Minsk,Belarus,9.87681347150259
252,Moscow,Russia,9.808667529107375
253,'S-Gravenbrakel,Belgium,9.76681818181818
254,Vilnius,Lithuania,9.62098445595855
255,Astana,Kazakhstan,9.290932642487046
256,Tallinn,Estonia,9.206217616580311
257,Helsinki,Finland,8.912936610608021
258,Grindavik,Iceland,8.894444444444444
259,Andorra La Vella,Andorra,8.817335058214748
260,Washington Harbor,United States of America,8.790361445783132
261,Oslo,Norway,8.07976653696498
262,Abaer,Iceland,7.684615384615385
263,Vestmannaeyjar,Iceland,6.422641509433962
264,Ottawa,Canada,5.426588845654993
265,Ulaanbaatar,Mongolia,4.539248704663213
266,Reykjavik,Iceland,3.7389473684210524
267,S-Chanf,Switzerland,0.534
268,Chi-Chi-Erh,Russia,-12.490243902439024
