Model,R2,RMSE (deg C),MAE (deg C),Overfitting Gap
Random Forest,0.9172620834911346,2.7659421809611757,1.8668586926451611,0.03526686863314743
Ridge Regression,0.3885652169291237,7.519100294547096,5.330288605968185,0.10183544368004882
